"variable","term","sumsq","df","statistic","p.value","symbol"
"sqrt(leafmass)","X3gen_treatment",9.1,1,49.52,0,"***"
"sqrt(leafmass)","X1gen_treatment",0.57,1,3.12,0.084,"ns"
"sqrt(leafmass)","X1gen_organ_origin",0.09,1,0.51,0.479,"ns"
"sqrt(leafmass)","X3gen_treatment:X1gen_treatment",0.38,1,2.08,0.156,"ns"
"sqrt(leafmass)","X3gen_treatment:X1gen_organ_origin",0.17,1,0.95,0.334,"ns"
"sqrt(leafmass)","X1gen_treatment:X1gen_organ_origin",0.34,1,1.85,0.18,"ns"
"sqrt(leafmass)","X3gen_treatment:X1gen_treatment:X1gen_organ_origin",0.08,1,0.46,0.502,"ns"
"sqrt(stemmass)","X3gen_treatment",5.33,1,26.46,0,"***"
"sqrt(stemmass)","X1gen_treatment",0.31,1,1.52,0.223,"ns"
"sqrt(stemmass)","X1gen_organ_origin",0.04,1,0.19,0.665,"ns"
"sqrt(stemmass)","X3gen_treatment:X1gen_treatment",0.71,1,3.5,0.067,"ns"
"sqrt(stemmass)","X3gen_treatment:X1gen_organ_origin",0.31,1,1.53,0.222,"ns"
"sqrt(stemmass)","X1gen_treatment:X1gen_organ_origin",0.4,1,1.99,0.165,"ns"
"sqrt(stemmass)","X3gen_treatment:X1gen_treatment:X1gen_organ_origin",0.11,1,0.55,0.462,"ns"
"rootmass","X3gen_treatment",0.75,1,1.4,0.243,"ns"
"rootmass","X1gen_treatment",2.73,1,5.1,0.029,"*"
"rootmass","X1gen_organ_origin",0.14,1,0.26,0.61,"ns"
"rootmass","X3gen_treatment:X1gen_treatment",1.15,1,2.14,0.15,"ns"
"rootmass","X3gen_treatment:X1gen_organ_origin",0.03,1,0.05,0.816,"ns"
"rootmass","X1gen_treatment:X1gen_organ_origin",2.3,1,4.3,0.044,"*"
"rootmass","X3gen_treatment:X1gen_treatment:X1gen_organ_origin",1.18,1,2.2,0.144,"ns"
"numnode","X3gen_treatment",140700.88,1,41.13,0,"***"
"numnode","X1gen_treatment",2730.02,1,0.8,0.376,"ns"
"numnode","X1gen_organ_origin",279.02,1,0.08,0.776,"ns"
"numnode","X3gen_treatment:X1gen_treatment",6321.88,1,1.85,0.18,"ns"
"numnode","X3gen_treatment:X1gen_organ_origin",735.88,1,0.22,0.645,"ns"
"numnode","X1gen_treatment:X1gen_organ_origin",4165.88,1,1.22,0.275,"ns"
"numnode","X3gen_treatment:X1gen_treatment:X1gen_organ_origin",693.02,1,0.2,0.655,"ns"
"numleaf","X3gen_treatment",861800.16,1,38.56,0,"***"
"numleaf","X1gen_treatment",43736.16,1,1.96,0.168,"ns"
"numleaf","X1gen_organ_origin",385.88,1,0.02,0.896,"ns"
"numleaf","X3gen_treatment:X1gen_treatment",49980.88,1,2.24,0.141,"ns"
"numleaf","X3gen_treatment:X1gen_organ_origin",20790.02,1,0.93,0.34,"ns"
"numleaf","X1gen_treatment:X1gen_organ_origin",38535.02,1,1.72,0.195,"ns"
"numleaf","X3gen_treatment:X1gen_treatment:X1gen_organ_origin",5904.02,1,0.26,0.61,"ns"
"stolonlen","X3gen_treatment",1511592.86,1,27.9,0,"***"
"stolonlen","X1gen_treatment",62611.72,1,1.16,0.288,"ns"
"stolonlen","X1gen_organ_origin",17975.19,1,0.33,0.567,"ns"
"stolonlen","X3gen_treatment:X1gen_treatment",176906.36,1,3.27,0.077,"ns"
